Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
University of Illinois,University of Illinois Urbana-Champaign,1800 South Wright Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1991,1991,60891,2,2,0,Assembly,Assembly,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1102 West Gregory Drive,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1989,1989,25741,2,2,0,Assembly,Assembly,Not provided
University of Illinois,University of Illinois Urbana-Champaign,907 1/2 West Nevada,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1989,1989,4595,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2110 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1990,1990,5124,1,1,0,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,University Of Illinois,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1971,1970,3456,1,1,0,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,901 West Oregon,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1991,1953,6238,4,3,1,Business,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,910 South Fifth,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1991,1991,22350,3,3,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2006 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1995,1995,11650,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1202 West Green Street,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1908,1908,2682,3,3,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1209 S Fourth Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1954,1942,32640,6,5,1,Residential,Residential,Not provided
University of Illinois,University of Illinois Urbana-Champaign,University Of Illinois,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1977,1977,208,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,601 East John St,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1983,1983,33134,8,7,1,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,101 S Gregory St,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1986,1986,5772,2,2,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1308 West Main,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1990,1992,119994,6,5,1,Education,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,609 1/2 East Curits Road,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1970,1970,4900,1,1,0,Business,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,6 East Gerty Drive,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1977,1977,625,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1006 East St. Mary's Road,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1985,1985,684,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2127 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1978,1978,4800,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2115 South Griffth Dr,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1986,1985,4270,1,1,0,Storage,Storage,Industrial
